,0,1,2,3,4,5,6,7,8
319,1,1,1,1,1,1,0,0,1
287,1,1,1,1,1,0,0,0,1
415,1,1,1,1,1,0,0,1,1
447,1,1,1,1,1,1,0,1,1
431,1,1,1,1,0,1,0,1,1
351,1,1,1,1,1,0,1,0,1
271,1,1,1,1,0,0,0,0,1
383,1,1,1,1,1,1,1,0,1
479,1,1,1,1,1,0,1,1,1
