,0,1,2,3,4,5,6,7,8,9
623,1,1,1,1,0,1,1,0,0,1
559,1,1,1,1,0,1,0,0,0,1
815,1,1,1,1,0,1,0,0,1,1
895,1,1,1,1,1,1,1,0,1,1
879,1,1,1,1,0,1,1,0,1,1
639,1,1,1,1,1,1,1,0,0,1
575,1,1,1,1,1,1,0,0,0,1
15,1,1,1,1,0,0,0,0,0,0
863,1,1,1,1,1,0,1,0,1,1
687,1,1,1,1,0,1,0,1,0,1
527,1,1,1,1,0,0,0,0,0,1
831,1,1,1,1,1,1,0,0,1,1
47,1,1,1,1,0,1,0,0,0,0
751,1,1,1,1,0,1,1,1,0,1
591,1,1,1,1,0,0,1,0,0,1
943,1,1,1,1,0,1,0,1,1,1
543,1,1,1,1,1,0,0,0,0,1
